Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
06-Apr-22,EQ,"17,975.00","18,260.00","17,863.00","18,023.20","18,200.00","18,216.75","18,080.69","20,609.15","16,255.00",47058,"85,08,41,167.35",14314
05-Apr-22,EQ,"17,826.00","18,060.00","17,718.40","17,820.15","17,983.15","18,023.20","17,939.43","20,609.15","16,255.00",39782,"71,36,66,335.95",13557
04-Apr-22,EQ,"17,610.00","17,866.50","17,462.05","17,557.20","17,770.00","17,820.15","17,706.27","20,609.15","16,255.00",39784,"70,44,26,310.50",13200
01-Apr-22,EQ,"17,380.55","17,607.70","17,250.00","17,380.55","17,553.00","17,557.20","17,439.36","20,609.15","16,255.00",31159,"54,33,93,040.50",9431
31-Mar-22,EQ,"17,250.00","17,433.80","17,202.90","17,298.00","17,344.00","17,380.55","17,354.35","20,609.15","16,255.00",62281,"1,08,08,46,537.45",17502
30-Mar-22,EQ,"17,108.00","17,347.55","17,022.60","16,921.90","17,250.00","17,298.00","17,192.76","20,609.15","16,255.00",74970,"1,28,89,41,152.75",20435
29-Mar-22,EQ,"16,900.00","16,999.95","16,820.00","16,860.05","16,970.00","16,921.90","16,907.98","20,609.15","16,255.00",83759,"1,41,61,95,158.35",24036
28-Mar-22,EQ,"17,250.00","17,348.95","16,790.00","17,161.20","16,860.00","16,860.05","16,878.80","20,609.15","16,255.00",80111,"1,35,21,77,159.00",27627
25-Mar-22,EQ,"17,478.00","17,478.00","17,075.00","17,408.10","17,188.00","17,161.20","17,184.98","20,609.15","16,116.00",53217,"91,45,33,081.65",20378
24-Mar-22,EQ,"17,328.00","17,500.00","17,260.00","17,344.20","17,345.00","17,408.10","17,389.03","20,609.15","16,116.00",43181,"75,08,75,690.30",14335
